"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
210039,189241,87,266532,245971,85,5778.76,198176,8419.29,34443,11.9204,11957.4,3263.46,158487,48240.9,-9824.31,0.379226,1
282763,260944,90,246661,227819,86,5851.37,166485,6478.64,27217.7,-1285.74,2777.8,1675.07,252746,41282.3,-21552.3,0.390531,1
220631,194610,87,283596,249298,87,5943.76,113525,8329.3,45739.4,-2479.47,2379.01,2865.52,191007,46126.1,-14635.6,0.393614,1
295515,266570,89,231803,209078,87,4928.7,169754,4411.05,20961,-228.416,946.796,2245.19,233117,28852,-17381.6,0.429584,1
318442,288248,88,334421,292988,90,9473.44,190221,32513.3,16618.7,-1969.3,5686.43,2887.18,163472,64048.6,-11780.8,0.445,1
287755,261427,86,351644,318369,87,7861.49,152905,13747.9,55413,125.82,5266.44,2629.15,156792,57114.1,-12310.6,0.466582,1
343378,313479,91,286853,262091,87,8498.25,122227,13229.8,26667.1,-590.048,166.344,1868.98,120887,48543.3,-10166.2,0.504607,1
297112,276187,89,223847,204527,86,7270.94,145239,6492.19,38787.9,-21.7148,-1978.3,1421.05,190047,41806.4,-14843.2,0.512829,1
221211,200068,84,265622,242355,84,6246.87,171613,7676.1,14052.2,1352.16,2493.23,2036.52,286038,36155.5,-22380.9,0.514884,1
367361,313799,104,446173,375446,92,11446.8,183616,25922,52910.2,1215.22,4554.11,3516.3,256929,61438.1,-20385.4,0.532355,1
242020,228755,86,168262,160078,83,3409.9,127430,2172.27,14094.8,208.888,1923.94,-350.405,154307,12393.7,-10301.9,0.535438,1
254307,233597,90,240439,219899,87,5967.41,133757,4181.26,44395.3,2472.22,8664.39,1560.74,191153,28703.3,-15505.3,0.540577,1
307964,281235,91,366529,332464,87,9388.57,198487,16999.4,46040.3,-715.113,1891.1,3299.03,179494,60818.4,-15308.6,0.549826,1
185086,161915,85,216951,199119,82,4397.22,137125,10516.5,32065.3,-296.878,-956.111,1976,175340,33028,-13795.9,0.55702,1
312779,280934,93,259885,231244,89,5820.45,224700,8129.36,12161.6,-253.55,1359.2,2638.66,315707,47244.1,-26241.4,0.559076,1
250080,219433,93,215271,193157,85,4772.03,130062,5027.09,31734.1,-2092.91,4167.43,214.856,145882,27516.7,-9629.7,0.561131,1
395184,350135,91,303614,269549,91,10418.9,198285,27201.5,53923.6,1116.96,8749.44,2435.56,245398,57310,-20435.7,0.56627,1
366739,332450,93,238641,215872,90,10328.1,171793,3177.27,46207,-2635.36,4371.51,2789.81,108534,72192.6,-7758.28,0.56627,1
372121,334072,92,283666,250215,90,11454,250561,11324.8,25672.3,-2998.15,-2533.28,2622.07,271714,81916.4,-22662.7,0.576547,1
261867,208343,90,446598,343971,95,9927.5,218907,14180.6,35298.5,-771.06,4982.5,2797.27,259166,68540.6,-21828.2,0.581685,1
286610,265086,85,220556,199565,87,6440.04,145260,11980.1,34608.3,883.583,1105.26,3413.35,208452,36962.1,-16819.6,0.631016,1
227576,202820,86,243680,213517,85,6043.46,145616,11566.9,60822,-1211.91,6017.73,1584.37,171977,44698.8,-13117.8,0.639237,1
234377,216920,85,192338,171569,84,4044.83,114828,4847.87,51000.9,-1128.53,9534.02,284.148,151277,31427.7,-11032,0.645404,1
311509,292759,86,207883,191501,86,9596.09,156930,7176.89,13974.8,-918.024,4147.56,1262.92,232422,39370.1,-19340.1,0.657736,1
247322,234402,84,193013,184821,83,3402.77,138785,3281.54,33027.6,-1122.87,5390,608.208,144489,20530,-10260,0.66493,1
324430,302598,86,273454,252303,87,8339.62,263521,18371.7,39561.9,-2107.92,61.9863,1300.05,192934,70204.1,-15585.4,0.677263,1
322401,292371,95,325372,282118,89,8169.25,146835,16266.5,48302.2,567.535,2974.85,2378.28,162932,53813.3,-13337.2,0.67829,1
291296,278748,86,181703,171603,84,6961.85,151130,12482.4,25915.1,1055.4,7850.58,489.353,91437.5,26515.4,-8170.06,0.681374,1
237220,223491,83,183239,180219,80,5137.87,131894,2918.67,29270.5,-580.277,3602.2,941.461,124558,30793.2,-8014.24,0.691651,1
255946,221331,87,348243,308323,89,4146.67,123080,7123.76,11708.9,3421.87,-39.5523,1516.28,273389,16625.1,-22549.4,0.693706,1
259706,229916,86,390764,345728,88,7755.52,170808,21874.1,41852.3,-1767.28,968.544,4260.74,151860,52623.3,-11163.2,0.699872,1
350129,312877,89,260523,232735,88,9484.65,156548,15371.1,35136.2,813.242,3595.57,2579.06,216392,54331.4,-17730.8,0.701928,1
357105,320225,87,370453,317969,92,7224.65,147526,22646.3,87291.6,-841.204,2649.97,4816.44,82064.8,54736.8,-5202.13,0.701928,1
263348,244629,85,244124,225126,86,6867.77,145358,7730.26,66285,-1682.05,2863.82,1460.08,138129,63726.6,-12511.6,0.71426,1
370490,328324,95,329631,287827,91,9003.06,185660,39859,8378.23,-1350.85,-299.524,2598.83,173203,70727.7,-15677.9,0.722482,1
186288,163810,87,188117,170605,81,2989.21,125027,2589.74,24694.9,1939.98,5565.58,138.41,165223,12794.8,-13583.5,0.72351,1
347691,317208,89,344330,309491,91,6774.5,162600,19489.2,17933.9,-839.965,1267.52,1231.73,227373,60862.3,-18275.1,0.743036,1
323154,300353,88,263725,238303,89,5653.1,134493,20441.6,33978.7,-1737.87,-236.085,1202.03,147548,53764.9,-11658.4,0.762563,1
362123,327786,95,334790,302135,91,9626.83,183319,15128.2,22865.9,-1191.97,240.813,2960.8,212380,63825.9,-17861,0.763591,1
