"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
336204,314583,88,246700,224756,87,3435.24,360.076,24485.5,15449,2395.29,2600.1,1546.67,465.335,21201.8,-251.751,0.503372,1
207824,185459,85,177475,157132,83,2895.73,-992.813,4827,67925.3,2660.08,21457,1719.11,163.626,25527.5,1635.34,0.50646,1
275434,269076,80,188917,179437,83,2114.88,252.064,9853.58,45178.9,265.444,93.298,1620.99,1301.6,16888.9,-171.775,0.508519,1
369721,323431,96,314624,272466,91,6342.2,-1863.28,23413.1,25636.1,2020.88,1281.3,2117.9,860.325,33761.9,-171.558,0.508519,1
172437,162434,84,131761,123107,77,1401.79,-1060.42,4520.53,21522.2,5758.7,7320.07,1484.48,-189.012,7795.67,560.584,0.524989,1
222692,209402,81,291150,265435,85,7215.49,791.311,11387.1,22436.8,1878.4,3270.55,1217.62,-126.651,13768.6,200.355,0.528078,1
275575,235426,88,397026,340213,90,4415.78,811.572,18639.9,43911.5,1549.15,3623.31,2869.68,94.4958,36911.3,1492.76,0.535283,1
199149,182874,81,204961,193863,82,1365.94,-461.894,5967.8,36230.5,1840.38,4494.58,1109.31,-474.819,14075.7,3160.33,0.545577,1
310799,296076,83,179929,167165,83,3015.04,-630.998,5081.44,22635.4,1020.71,3100.08,828.987,42.2095,13505.3,925.636,0.554842,1
360563,333687,87,293360,267692,90,4204.75,80.014,13511.3,83381.2,-52.4071,4271.75,2332.52,-663.352,25164.5,-111.033,0.556901,1
196425,175627,85,238330,216948,84,2576.26,-378.665,7061.05,40527.1,945.229,8765.99,1700.91,890.699,21458.4,603.75,0.563077,1
344199,316861,91,322160,293780,89,5336.73,-1246.2,28171.8,46460.6,1748.48,1635.76,1345.91,1423.6,20506.3,265.424,0.586753,1
240359,195076,91,425956,343820,91,3363.47,-101.563,14298,36345.4,1717.19,8259.5,622.627,-1131.83,34597.6,2014.47,0.598076,1
306977,272258,90,272446,223997,90,3849.98,-275.326,19673.3,40177.2,194.557,4273.66,1367.09,-934.886,20773.9,945.264,0.621752,1
291852,267755,88,237247,210456,88,3542.31,-978.299,7434.34,24644.4,1362.14,19652.4,596.197,1681.36,13010.3,-621.002,0.62587,1
221456,202050,86,271945,247129,84,1646.95,-133.878,3113.59,18332.2,1335.81,457.565,1947.21,1020.82,20698.1,232.767,0.629987,1
346319,317388,88,276472,251900,89,3619.57,-415.995,16148.8,27092.2,1538.57,5000.27,2290.32,-612.635,23603,572.781,0.637193,1
254094,232344,86,249523,220288,86,1966.55,-1048.67,6030.1,21691.3,174.89,1344.86,1341.96,155.681,19883.7,17.7132,0.644399,1
316360,287696,86,203555,183547,86,2481.34,-343.569,6808.15,19427.9,1086.75,3669.82,1180.74,1386.92,8163.04,-519.321,0.644399,1
314040,270714,93,339120,300424,90,3364.16,374.691,19320.3,30073.6,1823.59,1970.48,3152.92,74.6861,23591.8,208.814,0.645428,1
354321,319840,93,301904,267431,90,4354.69,-793.492,21109.4,36664.8,2663.56,725.609,1844.39,1573.04,14982.8,-324.847,0.651604,1
279044,249884,89,344954,295451,89,2736.15,-1051.32,18677,70241.1,637.016,5159.92,3549.79,-409.747,27555.4,1140.88,0.652634,1
348444,315993,93,284979,252805,90,13731.9,-2395.12,23237,12786.6,1334.46,987.664,1808.25,589.218,20350.8,-711.037,0.653663,1
256670,233492,86,289334,253313,87,4308.93,-1011.15,8251.57,33575.9,371.319,1193.78,1729.27,-239.827,19080.3,128.324,0.654693,1
362739,331559,90,327848,291183,89,4283.53,-2230.28,23953.8,26882.8,2507.61,191.092,2567.81,-434.345,28685.8,-397.543,0.65881,1
280785,265215,84,213179,197172,84,2160.64,-517.501,7089.42,26370.2,2764.72,6475.5,1572.1,659.291,14198.6,-292.162,0.661898,1
