"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
324430,302598,86,273454,252303,87,8339.62,263521,18371.7,39561.9,-2107.92,61.9863,1300.05,192934,70204.1,-15585.4,31020.9,0.893203
322401,292371,95,325372,282118,89,8169.25,146835,16266.5,48302.2,567.535,2974.85,2378.28,162932,53813.3,-13337.2,57713.3,0.894558
291296,278748,86,181703,171603,84,6961.85,151130,12482.4,25915.1,1055.4,7850.58,489.353,91437.5,26515.4,-8170.06,112920,0.898625
237220,223491,83,183239,180219,80,5137.87,131894,2918.67,29270.5,-580.277,3602.2,941.461,124558,30793.2,-8014.24,73352,0.912179
255946,221331,87,348243,308323,89,4146.67,123080,7123.76,11708.9,3421.87,-39.5523,1516.28,273389,16625.1,-22549.4,56239.2,0.914889
259706,229916,86,390764,345728,88,7755.52,170808,21874.1,41852.3,-1767.28,968.544,4260.74,151860,52623.3,-11163.2,82553.9,0.923022
350129,312877,89,260523,232735,88,9484.65,156548,15371.1,35136.2,813.242,3595.57,2579.06,216392,54331.4,-17730.8,100415,0.925732
357105,320225,87,370453,317969,92,7224.65,147526,22646.3,87291.6,-841.204,2649.97,4816.44,82064.8,54736.8,-5202.13,81262.6,0.925732
263348,244629,85,244124,225126,86,6867.77,145358,7730.26,66285,-1682.05,2863.82,1460.08,138129,63726.6,-12511.6,56710.1,0.941997
370490,328324,95,329631,287827,91,9003.06,185660,39859,8378.23,-1350.85,-299.524,2598.83,173203,70727.7,-15677.9,79968.3,0.95284
186288,163810,87,188117,170605,81,2989.21,125027,2589.74,24694.9,1939.98,5565.58,138.41,165223,12794.8,-13583.5,140994,0.954196
347691,317208,89,344330,309491,91,6774.5,162600,19489.2,17933.9,-839.965,1267.52,1231.73,227373,60862.3,-18275.1,92645.1,0.979948
323154,300353,88,263725,238303,89,5653.1,134493,20441.6,33978.7,-1737.87,-236.085,1202.03,147548,53764.9,-11658.4,68558.6,1.0057
362123,327786,95,334790,302135,91,9626.83,183319,15128.2,22865.9,-1191.97,240.813,2960.8,212380,63825.9,-17861,98406,1.00706
261720,250868,83,141184,133059,81,5276.39,142570,3892.61,32855,-1233.03,3627.63,-430.538,159007,42811,-12409.3,61910,1.00706
383666,341693,93,326973,292146,92,9762.82,217256,19588.8,45256.6,-889.548,-2120.05,1437.61,103271,80218.1,-8023.1,93392.2,1.02197
300790,283611,86,220778,207132,87,7088.3,153294,7197.85,49280.6,-1625.9,1918.82,1635.9,172599,48205.5,-13353.7,44395.1,1.03552
268592,251576,85,239975,222429,86,6002.47,190807,3586.84,26049.4,-1534.52,15302,1740.32,185919,54552.8,-12546.8,133640,1.04636
259096,242659,84,180627,163493,84,5095.45,113992,5849.82,27019.6,196.855,3322.96,1376.37,172157,33520.4,-13405.2,94072.7,1.05178
376680,330264,91,286166,247741,92,12945.4,223830,19660.2,58919.7,-1613.26,-930.943,3601.26,130412,83597.5,-9786.72,110643,1.08296
