"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
315897,297090,88,115742,106590,84,3527.02,82702.6,10944.6,3397.77,1135.67,83.7684,592.741,78767.6,19336.8,7576.48,71765.2,0.901908
333180,306943,88,185786,171294,87,3270.26,89565.2,16036.5,8127.12,1264.25,9441,741.609,228852,26668.2,11411.8,47669.3,0.922282
322082,299713,89,160661,140586,87,2561.15,73310.1,19522.8,4341.49,5062.71,7070.4,2183.48,151257,26176.1,11363,82305.3,0.92364
311117,290052,91,92358,84879,83,2526.05,79322.2,7351.64,2934.95,1913.37,572.831,553.966,99423.4,17239.3,19939.1,89865.4,0.944015
317038,293773,94,99129,97089,83,1587.9,66761,4951.9,5529.41,1050.31,4297.35,340.106,147556,20759.7,15706.5,66434.1,0.963031
207132,186363,82,167197,151261,83,3337.5,87208.4,11670.1,13340.2,1810.44,1867.58,1202.02,134709,28488.5,6012.23,105238,0.98748
328195,305434,87,128128,119048,86,3545.65,101729,6177.2,7042.09,3509.31,2126.96,825.961,97559,24860.6,13179.2,70411.2,0.992914
318164,303457,83,123017,113581,83,2322.33,69139.2,10765.9,7145.58,601.517,1004.19,605.711,88111.7,14711.2,9213.79,130392,1.00921
328214,299767,90,117699,106608,86,2996.71,85875.1,11576.6,10541.4,807.734,5463.35,274.658,75943.5,16761.5,3755.83,87570.8,1.01736
300371,279425,88,96972,90496,82,2504.08,65884.8,9681.82,6994.65,1380.87,5623.76,832.772,83593.8,15286.4,17975.4,69306.2,1.01736
321988,294901,93,111809,102508,85,2411.29,56882,8614.23,9662.06,96.6239,2832.91,1555.05,103643,14540.6,6960.57,147827,1.01872
323580,296245,90,116882,107436,87,2583.11,54347.8,11972,2675.76,1788.1,6995.36,1718.05,142208,16558,8803.54,50312,1.0228
333981,306935,91,127452,116190,86,4438.27,134368,11401.6,4858.74,4492.59,2062.95,1736.27,78762,24203.9,9888.23,114778,1.04725
308759,284831,86,99836,89335,85,2876.09,85545.5,4938.05,4745.98,2506.18,3244.52,439.852,174314,21400.7,5177.05,99307.2,1.0554
310746,290446,86,105800,97693,83,2383.43,77849,14085.7,8430.25,2146.7,674.722,705.212,145021,22267.2,5242.96,75704,1.07577
203169,183502,85,87605,76393,83,1108.41,97047.6,9587.59,9168.96,1614.37,5340.07,1543.18,92080.9,6694.97,11338.2,75772.6,1.08664
313724,293809,88,142503,131388,85,3106.74,80817.1,7123.75,2828.87,1470.76,4415.05,1634.63,95852,14899.3,9250.45,98447.8,1.09207
229184,205198,90,158007,139793,83,3064.66,136477,12840.2,4040.06,538.295,3283.21,2402.43,179682,28603.2,11911.6,62574.2,1.09207
310224,293100,86,121311,112517,85,2931.96,56467.2,6465.63,5389.94,1758.05,1546.97,436.498,65057.7,13100.1,7349.26,78117.5,1.10022
300086,284101,97,111255,103907,83,3311.63,96137.8,8568.88,8393.71,1918.5,2322.26,844.456,113372,17492.8,10728.7,98367.7,1.11244
335856,317494,88,117134,109143,84,1472.49,83220.4,8851.23,3577.18,1309.75,6117.52,38.558,145064,15041,5750.4,87008.7,1.13282
310704,292710,87,104629,98643,83,1859.02,55019.2,8560.14,3247.03,685.491,1723.25,133.599,119006,14403.7,9549.32,129256,1.14912
322251,301913,87,123865,113847,85,1882.35,71281.3,15091.6,8219.64,-25.176,4088.07,203.564,76342.7,6165.19,7007.52,48218.9,1.15998
321626,298729,87,98665,89435,86,3044.13,70967.5,10999,5271.76,1007.02,3130.87,644.617,102662,21101.6,18013.8,112759,1.15998
310877,294755,86,110226,101644,82,2035.81,43484.5,13431.7,5039.69,1015.26,10500.8,192.316,110051,13251,19584.4,88373.4,1.17764
224166,201562,85,94361,83868,82,2054.35,66763.4,8978.55,6306.09,262.534,2417.43,2699.17,71603.3,18660.6,5336.85,98043.1,1.19394
305031,287145,85,91110,85792,82,1796.79,60037.3,6669.23,3718.75,788.324,-187.012,1569.06,94922.4,15702.7,8883.21,103366,1.19666
