"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
317806,290659,85,178198,165963,81,8468.87,182419,7615.63,22016.5,4916.18,17722.7,2141.22,153320,65492.9,-12165.6,123789,0.994531
275680,256452,83,163590,149367,80,6950.42,153397,8199.35,23498.8,2356.9,4124.94,3261.98,106702,64957.8,-7606.59,89042.4,1.02219
276002,261611,81,132520,126030,78,6156.6,122789,4883.07,32942.9,1946.44,15916.7,2293,102001,43573.2,-9469.94,67805.6,1.02746
330167,298373,87,189055,169803,83,7972.81,154221,15734.1,25348.6,2169.15,8468.7,2856.95,122714,80884.9,-11555.3,77514.6,1.02878
345097,311005,85,217590,192663,84,8309.17,116819,54460.1,8120.87,977.984,5700.27,925.327,82603.8,81360.3,-9124.92,67762.5,1.03537
323501,293491,86,246158,221902,85,6523.26,55531.9,32356.5,15873.8,3496.74,4968.94,1487.95,89973.8,81984.8,-8316.78,64271.5,1.0762
358805,316163,90,245304,216292,86,8675.68,110540,13979.9,11963.9,1235.52,13232.3,1302.35,188817,118791,-17116.4,60444.6,1.09728
360765,308285,93,289324,225027,93,13882.3,279668,18693.9,16938.7,3783.96,5899.95,5094.51,151236,123286,-11293.2,69517.1,1.14075
347141,311176,88,199692,177793,84,11007.7,141116,22629.4,11488.1,3056.37,1957.36,3799.74,59567.5,103674,-5664.33,121653,1.14338
447044,398615,101,369897,316820,91,16934,153984,9404.59,8251,4764.66,804.706,10247.6,95051.2,117640,-10711.5,81770.2,1.17763
439467,375082,92,277361,237129,90,12274.6,129527,23330.3,8385.13,5019.27,28993.5,1146.68,160769,107566,-16630.2,48842.6,1.18158
324366,287447,87,211777,184356,84,4552.98,116410,16262.4,13242.1,4345.54,2845.17,3087.13,144174,89770.9,-15262.7,107873,1.18817
354395,310339,97,274763,243237,88,12584.6,188136,11657.9,10983.7,2994.77,12492,4316.18,197491,111116,-19531.5,99213.4,1.19871
428247,378676,103,312429,277420,89,10424.9,97389.8,21388.8,11749.5,5912.01,1787.58,1120.86,133157,63285.8,-14167.8,61305.1,1.23822
441360,372410,99,318693,260261,92,11621.9,139223,14924.2,17663.6,3432.46,16271.4,1774.93,168829,147505,-18532.4,37051.4,1.28038
466286,412644,91,302252,254030,90,13400.7,151450,13674.7,24560.4,5498.2,955.539,1949.14,110000,110593,-11422.4,112460,1.28565
354022,314901,86,260251,215728,85,11420.3,203421,27310.4,19426.5,3065.89,568.916,5427.94,126114,110832,-10778.2,93880.5,1.2896
320298,290584,84,209460,185367,85,6553.13,67313.6,9366.87,37257.4,2278.07,17222.8,291.108,139776,69957.7,-14291.8,83925.2,1.32385
310618,281901,85,225961,203613,86,7938.4,204598,13407.1,32423.7,1726.23,14659.7,2621.87,188318,72655.3,-16179.6,128110,1.33175
359607,328252,88,232256,209086,84,8969.92,138615,15575.3,12078.3,2812.24,4610.23,1083.92,106678,102864,-10006.2,64432.1,1.3357
320005,287994,86,192237,169615,85,7821.07,149477,8978.03,16568.8,2487.34,10241.9,2154.31,132587,63543.3,-10684.6,73974.6,1.34756
301755,261650,84,270667,229909,85,9718.73,136208,18213.6,14655.7,1498.27,26752.9,3135.65,175971,95250.6,-18014,110215,1.36995
373443,315640,90,370102,317548,89,15384.3,169104,38087.8,22824,3872.98,5928.27,8600.14,94454.9,103620,-7482.53,82754.4,1.37522
362658,319528,98,237552,208300,86,11938.9,191790,19961.3,19922.2,4146.31,11385.2,3609.95,245962,99932.7,-24064.9,76108.8,1.37654
354553,317390,88,258265,228411,86,5776.93,47362.1,16927.1,8418.87,4737.88,9068.03,-12.5507,161044,49540.2,-16354.9,139807,1.38707
374941,332126,87,243871,211940,86,12596.7,132229,30489.8,12331.4,1262.86,9689.72,274.263,115845,126714,-12308,85949.3,1.40156
426982,377190,102,267885,238564,87,13448.6,190670,5219.64,28117,3474.15,134.481,3246,141859,122916,-14460.5,113101,1.42264
311970,286497,91,163831,149103,82,9716.55,205177,17979.1,23886.9,2357.67,-1208.92,2938.27,137530,106106,-13875.2,109230,1.44503
384603,346126,90,230575,207707,86,12218.9,155376,9557.42,17377.3,2978.61,8883.03,3171.59,151255,135629,-14421.4,81509.3,1.45952
356260,308672,96,274704,235176,87,14874.8,212929,27640,17547.2,1965.78,-452.851,6570.52,158718,157167,-16049.3,95838.9,1.46216
347842,309366,91,175906,156072,84,9524.68,136136,13407,14828.4,3525.06,30741.2,2603.59,109993,81764.2,-9306.81,57019.8,1.46479
323863,291601,91,186041,166527,84,10355.3,185961,9590.41,13219.4,1117.14,14389,3213.29,133412,100736,-7271.4,92256.9,1.46743
345599,311367,86,215242,193970,84,4865.09,61222.3,19238.5,13608.6,3124.52,14052.2,1389.89,119192,54269.5,-10368.2,60205.7,1.51748
346503,311086,89,251313,223933,86,12324.3,182280,9742.05,14635.5,1090.41,28046.3,1878.89,160235,133233,-16607.8,72719.5,1.52143
367790,320945,92,274421,240059,87,15661.8,306650,8015.62,9109.18,4798.38,4420.07,6690.33,99922.5,126682,-8226.29,88598,1.53856
344633,304512,88,263401,234134,86,14616.3,220707,16180.4,8870.77,2331.64,1897.12,6073.67,78723.2,119844,-1157.73,76470.3,1.54119
294853,271023,82,169249,145998,82,9157.11,153584,6515.12,12002.8,-101.675,290.612,1275.81,110708,100288,-10375.5,80864.6,1.5649
339157,298387,91,216363,192376,86,11490.7,162288,13642.6,12846.9,3391.95,3432.5,2453.82,137685,104984,-11681.8,80349.4,1.5649
284054,266400,83,149320,137128,80,7829.07,176448,9068.19,34810.7,1121.89,263.928,2926.98,118885,80683.5,-11147.2,58180.9,1.57676
356808,324968,86,210295,189228,84,10897.2,170726,16676.4,13820.5,2402.83,2572.92,3693.19,119901,101430,-10126.6,114846,1.61891
295355,267922,87,167423,152668,82,7143,90537.7,13085.7,14764.5,2159.8,3627.91,586.31,109661,65534.1,-9847.88,107756,1.63208
316770,286863,85,218957,192415,85,6010.21,74738.2,20643,13373.9,2545.63,5947.45,2710.23,96050.1,72062.7,-7396.8,55766.5,1.63735
417104,361459,89,349459,286652,92,17770.6,287315,38758.5,20390.8,5535.73,2218.34,4646.83,304396,160492,-32292.7,105463,1.64131
349760,312684,88,254872,228418,85,11521.2,227407,12854.8,14075.4,2172.01,18123.8,4330.94,210582,140332,-19853.4,95875.4,1.68873
313895,272879,93,323992,279765,87,10169.6,255198,10573.5,13423.9,3066.94,2559.93,5632.8,134833,97918.2,-7798.38,45582.6,1.69531
268812,249264,82,157558,143458,82,6805.15,91558.7,7094.24,10432.1,1507.45,1941.98,612.795,76618.8,56475,-5160.18,113313,1.72561
282718,263465,95,161291,110734,80,5757.75,135985,6306.22,18715.5,46.779,15548.4,1305.89,117449,45300.3,-9681.06,54903.6,1.7704
