"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
464586,408619,92,349123,302528,90,22334.5,382360,18097.5,77185.2,4920.32,2185.98,4397.26,223669,173971,-23554.7,75018.5,7.71551
256817,223618,84,293672,247895,87,6795.01,227550,18585.2,96712.1,1034.62,1621.27,5553,586628,89573.2,-64966,137383,7.72885
334631,304104,88,192999,173773,84,14794.5,204254,14452.6,84936.8,1919.16,4281.86,3566.66,116031,113212,-11421.5,95078.7,7.73686
399787,355243,87,237714,205809,88,16170.3,266896,21556,62895.8,1320.69,22568.3,2987.34,407881,106623,-45533.2,90709.3,7.78757
258860,231206,83,261465,225360,84,11557.1,205428,9106.29,116453,1995.35,43331.2,4536.38,340125,96730.9,-31973.8,120161,7.83294
266494,232230,86,331682,277374,89,14921.2,185805,60840.1,122300,876.211,10760.7,5693.48,136937,98630.6,-14066.4,91999.7,8.10516
386295,351978,87,248691,221963,86,13843.2,267158,17772.6,102695,2240.05,19257.3,2538.48,243916,116969,-26255.6,101022,8.14786
305560,263952,86,265139,228012,86,13152.3,225774,36253.1,50727.8,405.287,253.637,4270.97,199695,88346.2,-16800.7,98323.3,8.16921
272360,217773,88,445733,341957,91,11275.7,250116,37775.1,124677,2649.34,4466.86,8238.71,386688,123552,-42924.1,66821.2,8.27462
270900,252893,81,140131,129684,80,8544.41,146945,9052.01,76636.5,830.954,19973.3,1642.62,284985,65157.7,-30324.7,47734.9,8.2813
366370,323567,90,259061,226542,86,13019.3,288136,42174.9,108252,1992.61,6079.18,5957.82,226289,138085,-21689.1,56256,8.43342
382488,335539,90,299754,254478,90,19312.7,238548,12118.7,88114.6,5120.89,1538.29,6561.84,190642,158387,-20285.5,80614.5,8.49614
319745,297341,85,200259,184436,83,12081,192222,20339.3,110010,-48.2002,-1130.82,4055.41,205240,99518.7,-21595.2,83982.9,8.52549
333991,305950,88,224268,203418,84,16258.7,205773,42027.4,77045.4,985.944,1164.11,5522.64,142872,99938.1,-15511.4,83843.1,8.62157
395810,350540,89,263686,230198,87,15078.8,233577,10118.1,64500,1003.95,708.421,5260.45,331767,114298,-36464.7,109469,8.63625
383982,338130,87,270202,233809,88,17668.2,309537,28506.1,107572,519.329,12698,3797.68,157468,146011,-14561.3,127004,9.05525
338933,308582,83,260693,230466,84,14497.2,265900,31164.1,67137.5,770.389,2388.92,6151.03,250304,129109,-25099.7,88554.6,9.6157
255603,235196,85,226064,202804,82,10710.8,233542,10247.9,129490,351.737,4527.7,6287.98,273100,97788.1,-29194.1,84819.8,9.67575
399944,362457,90,304645,275793,87,22258.2,436844,20520.1,49661,1556.1,-2074.43,3549.08,234374,163204,-25025.1,110794,9.83721
375994,342116,85,235718,211203,86,14483.4,229411,29418.1,65858.6,2230.48,2278.98,3403.14,136141,109326,-13534,103154,10.1401
294461,273268,82,249018,226389,82,12086.2,213094,19373.4,60254.9,221.462,1852.31,3609.68,137928,117938,-13784.6,54176.9,10.2402
444965,376166,92,306735,246530,91,21687.1,276360,42201.3,103151,2187.47,4879.24,5580.67,191899,164084,-19670.8,76871.5,10.3696
309510,276572,85,240950,210870,85,12876.4,253367,28008.2,104644,1681.34,994.823,4543.36,264912,115121,-26385.2,94829.6,10.3776
