"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
331273,294070,91,224099,198744,88,4403.38,128451,10269,3496.15,1529.94,1490.22,2019.82,636773,41155.6,3442.53,75663.6,0.890841
177629,152511,87,105418,87827,94,383.324,63197.5,12660.3,4658.35,1345.74,2388.72,4058.33,267986,15626.1,4462.75,91300.6,0.893512
610321,327142,137,332414,155525,135,2869.59,200644,14974,8704.33,4098.52,7644.29,3728.83,874872,60532.7,10379.2,146580,0.894848
361147,321207,94,260442,234486,90,4329.3,97470.6,7776.35,10706.5,2506.96,3668.94,676.067,495333,39576.8,139.386,99870.7,0.90019
303517,278689,90,169425,157742,86,2124.06,80899.5,5497.55,11154.2,2316.53,1918.97,1914.95,406534,30797.1,5321.43,76823.6,0.942929
347958,309727,90,157173,137296,88,4030.69,80945.5,26442.8,4831.93,3150.06,7095.82,1932.94,419222,37132.6,1727.68,74553,0.946936
308984,279894,89,193623,172779,88,5528.92,96499.8,13192.6,5841.6,1670.02,870.495,2499.36,284539,34191.8,4938.88,104811,0.96697
342085,308276,89,111696,99039,85,3129.75,111106,8428.72,7676.68,2828.47,388.179,1110.68,325299,28278.8,7053.77,69331.1,0.968305
357848,330344,90,189163,174858,87,1488.48,136411,11418.7,6498.37,2980.01,106.335,2090.11,843492,55333.1,866.147,68323.1,1.02306
224769,178092,88,146448,114849,88,747.693,177909,17551.7,3642.77,3304.03,9235.33,1791.12,901838,42948.9,900.26,104916,1.03642
327417,308127,88,123956,115882,84,2724.56,83828.5,10682.5,5412.09,1977.97,3262.04,44.7011,329649,34936.3,1461.44,118066,1.04577
332690,293986,91,106832,94837,87,4528.76,89675.7,6074.63,5401.57,1836.25,2815.67,1330.39,237219,33503.1,6008.06,49066,1.06981
389463,345734,92,187729,163192,90,3490.42,157644,13017.5,16062.5,2748.02,5578.67,2036.34,417513,54091.8,752.703,80982.3,1.10186
225578,209731,87,151151,139355,83,328.169,60218.5,10483.8,8933.47,836.793,-1822.28,2102.47,359331,17835.9,7488.27,94177.6,1.11789
400015,364293,89,231980,207812,90,3982.98,104730,12695.4,9749.89,3057.19,-1347.79,2337.02,528476,50302.5,1624.9,76882.5,1.1633
380376,351540,89,188663,171077,89,2038.26,81782.7,13376.7,3060.91,2286,6451.36,2106.44,542694,36692.5,4632.76,109515,1.18868
375100,342786,92,204473,185251,89,2482.65,103782,8515.1,7290.83,3357.18,2751.38,442.725,613829,54292.1,1186.56,55067.9,1.19936
345940,316783,92,138391,122999,87,1573.13,90620.9,4239.61,4360.13,1479.93,4301.31,754.668,464264,20546.8,2914.87,72101.7,1.20738
332097,310819,86,179032,160938,89,2315.03,88874.7,12420.5,6262.75,2677.25,5638.39,707.509,465299,28300.8,2769.66,55498.1,1.21272
300214,276475,86,173460,159360,86,1236.34,122648,7014.85,7751.83,1694.34,2283.18,1635.84,442401,36298.9,4114.72,72776.2,1.21673
332965,309219,90,142203,131804,86,968.436,77064.9,13938.5,3533.94,2322.64,3085.52,602.752,467419,26479.1,3462.25,48835,1.23008
279133,253154,88,190355,172975,85,1524.59,124412,15201.3,4424.34,2644.25,1459.85,1617.71,411816,37042.5,5217.62,76227.5,1.23142
361547,328670,90,145249,129485,87,332.693,124319,8162.53,3177.18,2662.98,2891.5,741.941,510992,19997.2,2460.7,76165,1.2381
403593,369214,93,158493,146244,87,2742.25,101118,6731.35,3110.99,3479.6,871.361,1055.24,393418,22968.2,502.495,76838.8,1.24878
347274,324137,87,176528,164087,87,3953.18,113562,16256.7,21540.5,3165.07,2975.36,1001.46,426709,48234.2,1356.64,135633,1.26614
363509,327556,89,188928,164824,90,1863.82,133998,18399.6,4255.68,3404.58,-494.26,893.546,638533,51606.8,2309.53,77270.7,1.27149
337776,305964,95,151165,138429,86,2336.46,76167.1,4861.81,7325.81,3489.22,7356.77,424.111,329323,20734.3,5981.76,121987,1.27549
276191,247519,88,203701,184422,85,2145.15,123741,13025.3,4895.54,3017.3,1259.22,2631.91,442879,41635.2,2591.29,83185.8,1.31022
331024,307632,87,117605,109352,83,2072.8,87635,11298.6,4628.61,881.196,-490.099,1017.63,329659,24658.5,2910.06,87551.2,1.31957
387256,350538,93,199344,176006,90,2793.63,135692,13250.6,5403.59,2855.87,426.257,1835.84,544378,44473.1,2777.81,64333.7,1.3209
375459,345149,94,166876,153173,89,2393.88,112462,17213.4,6229.01,3427.13,-18.4842,1365.49,590070,44016.4,2690.66,115578,1.34094
311760,267513,97,194804,171971,88,5289.2,119522,16151.6,11074.6,1366.3,2815.25,1035.37,319930,37172.5,4359.75,105820,1.34494
257219,224940,89,167554,144436,86,1918.95,110565,16063,6110.4,2852.31,2893.14,1555.77,467331,29594,5787,76009.2,1.39837
316639,297730,87,154805,146070,85,1804.37,76634.4,6864.75,4921.66,1271.75,2508.69,1562.08,421379,31244,5166.09,74142.8,1.3997
338151,318489,87,129420,119230,86,1787.56,91069.2,11247.2,4249.73,2380.32,1610.35,1966.3,359201,29711.7,3302.4,103927,1.40104
379934,346224,90,190395,168261,89,3349.07,143958,9517.68,10736.1,2990.68,1013.36,2786.58,631769,43717.4,88.6139,81755.3,1.41039
418830,367669,96,193230,168536,94,3583.53,115127,25186.4,7670.81,3608.37,3133.41,1406.89,605779,51717.5,-385.558,97778.7,1.4184
364738,328261,91,154114,135247,89,1476.19,102997,6775.24,6123.07,1840.32,10168.4,561.608,453120,30912.1,2001.85,107754,1.4184
426004,383507,95,220305,196332,92,3216.61,90667.4,11723.4,5531.44,2834.96,7822.7,1985.41,592799,25238.7,-71.2406,66727.3,1.43309
377868,350553,89,203154,177422,89,1275.61,114389,9403.79,6405.47,3926.32,58.9602,1659.35,818141,45724.6,3579.79,85267.5,1.43443
295840,275716,85,133379,120784,86,2078.83,97800.1,7875.48,5105.6,1470.06,1806.12,2925.45,406768,30320.9,5992.51,104235,1.4371
308906,287315,91,161242,149231,85,3684.51,96759.9,6621.83,15757.9,3373.26,-2070.41,1140.26,365836,45351.6,2776.11,57812.2,1.44244
249818,231561,84,154165,138578,83,1183.09,55084.2,6048.17,13050.9,1384.96,6503.72,977.884,286545,21817.1,6894.99,65945.1,1.49987
371816,347159,89,124076,115194,85,3132.43,131143,5240.02,5919.01,3375.89,618.462,2073.06,526108,39861.4,3544.7,96736.7,1.53727
