"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
245838,215740,84,275032,233872,86,2752.16,1844.18,24520.3,64198.5,4112.69,31701.7,3465.9,33.2092,41752.6,1393.81,4.43658,1
341094,306333,91,234101,203528,87,8736.39,1249.42,19326.5,83556.1,4638.58,-882.302,3220.06,-48.3465,48880,1120.22,4.43856,1
283815,255030,85,173099,149369,83,5745.21,-373.43,8841.92,60425.8,1994.24,22174.1,1140.32,1155.92,18040.4,2067.71,4.43956,1
267359,231605,86,244736,213398,85,3149.16,3129.64,17780.5,73868.7,3714.78,19321.2,1836.88,-338.745,25024.4,3261.4,4.45744,1
355834,320142,89,224912,199871,85,48201.5,1846.38,23942.2,123918,3014.17,2450.65,2631.65,793.945,30744.2,47.8161,4.46339,1
336959,287059,87,244633,209855,88,4887.18,642.901,21148.3,68561.6,2984.6,592.877,2191.16,812.754,27180.5,-336.98,4.48425,1
354871,314390,93,281388,237656,99,5397.41,2167.82,10379.1,72203.8,4882.61,21672.2,1076.84,-603.708,36826.6,352.608,4.51305,1
423314,353254,105,336837,278913,104,9563.14,1598.66,30992.3,85089.8,3329.41,6028.64,2555.25,-140.106,44794.5,333.345,4.58854,1
343660,300665,86,266309,224183,88,3728.99,1932.46,39981,64106.4,3331,3266.59,6724.32,-575.947,43491.8,-105.883,4.63621,1
337574,299294,89,256768,223559,85,3721.93,572.451,33244.5,90661.5,1405.57,-231.972,4229.23,-524.022,43091.8,-120.601,4.70971,1
329533,297077,97,228339,206997,84,3813.26,1177,12399.5,112280,4676.28,25550.3,3019.84,-97.0936,26250,3380.45,4.7544,1
282009,256104,88,209929,187954,83,5269.83,1086.42,9210.71,60716.4,4146.97,19096.9,2129.2,-18.1352,24136.9,3421.24,4.76731,1
291340,274960,80,194017,179954,82,2893.16,614.274,4257.13,41381,2667.36,15149.2,2837.76,67.3928,14477.5,1488.65,4.81498,1
312330,283823,85,285738,256221,84,3835.99,2080.09,20177,77622.8,1901.11,4961.66,1771.02,828.816,24652.9,2043.85,4.84379,1
286448,267566,81,219262,201549,83,2165.77,734.91,5469.54,45609.5,2444.51,40784.1,2451.47,101.035,19122.2,2888.17,4.90735,1
329234,292643,86,321028,279417,87,5128.58,330.281,33206.3,62610.1,5349.54,2333.02,2586.76,239.799,41917.8,-641.417,4.91232,1
320885,290156,84,250872,217923,83,4416.31,1420.07,36067.5,48890.9,2924.17,779.155,3063.19,1025.16,29878,777.28,4.92026,1
348795,315513,85,279190,245224,87,3886.11,2034.63,24049,56043.9,3365.6,10734.1,556.119,767.362,32525.2,804.293,4.97687,1
311470,282981,93,231293,204955,84,8565.65,-38.725,8522.36,60551.6,5646.21,5461.93,1690.27,436.611,18915.7,781.88,5.01759,1
440619,385560,92,351105,308506,89,7289.7,3046.1,53127.8,54417.6,6155.67,3354.24,1597.34,-486.537,43591.9,365.428,5.0891,1
337621,297754,87,278048,239768,88,2854.96,179.315,17927.5,155268,2625.86,2495.89,5172.13,662.568,34135,-267.417,5.21723,1
279414,258274,82,188847,167716,84,9789.21,1164.5,8917.54,44161.2,5465.21,17711,1756.35,529.838,24192.8,4226.13,5.25199,1
287447,264047,84,224795,190906,82,2939.77,356.829,14268,74993.7,3074.46,28673.7,1353.07,1280.91,19219.6,2553.28,5.27781,1
302955,275012,92,253093,220702,87,9587.18,1134.46,20949.8,137434,2615.01,2091.66,2857.26,-107.419,33585.9,-220.213,5.28576,1
380161,346114,87,263462,237644,86,4410.41,736.87,15065.1,75246.7,4829.93,2340.57,2008.49,1349.23,29617.1,-425.552,5.31059,1
312318,267919,88,326455,267234,89,4534.22,1670.67,43963,81815.4,3898.88,2056.97,6017.91,1061.53,52941.1,-117.771,5.32747,1
377614,342915,86,251522,220390,86,6057.61,1988.24,29615.2,90942.7,3953.42,2150.46,1685.5,470.218,25900.1,279.861,5.39302,1
340765,292184,90,265583,222810,87,6847.98,2520.93,42997.8,62543.5,2443.63,14948.8,2092.09,215.964,39356.2,1608.65,5.39699,1
336203,300160,93,266209,231610,85,3888.27,2400.95,38720.3,51784.1,4005.34,121.592,1957.26,-40.2649,29806.7,162.658,5.47744,1
310238,282640,83,227787,199455,84,2478.7,1168.22,18397.9,64572.7,2106.34,4774.02,1062.74,-542.123,28724.5,2109.46,5.48439,1
413176,369682,95,312490,274711,89,4740.17,1059.54,29815.5,83665.8,5793.59,2282.08,876.182,82.0005,26017.5,-100.785,5.52809,1
331914,301871,86,136578,121024,82,4600.56,657.924,6397.03,59607.3,5282.26,22529,1274.39,415.353,12989.4,1428.94,5.54101,1
337439,305137,85,222750,197763,84,3473.03,940.017,19662.8,74815.6,2370.22,2952.57,2094.11,1034.49,18263.8,3543.38,5.59563,1
294249,267583,85,247741,219266,85,3888.34,977.083,13691.2,81146.1,5439.71,23706.8,2135.01,366.891,20385.8,4512.87,5.63337,1
252874,222591,84,201443,174892,84,1736.09,703.88,9720.24,30471.5,3644.83,9566.9,2383.06,1631.82,17730.2,300.317,5.69197,1
293814,266741,89,194237,175146,83,2944.74,1157.13,17119.8,85557,2287.06,1155.59,2756.06,573.524,19474.7,876.272,5.70786,1
365183,323868,87,252468,226719,84,6301.98,1378.11,35289.5,83220.8,4352.02,932.624,2680.84,684.1,38655.8,440.266,6.0515,1
369958,333283,87,250126,227749,85,4979.03,368.494,8895.88,59465.6,4654.54,772.012,1584.31,126.002,30800.1,-155.63,6.06243,1
336287,293325,85,289879,243417,88,5252.67,817.002,22191.3,68220.5,2717.29,713.137,4378.36,731.286,26378.7,220.819,6.06938,1
331851,296369,86,250740,222899,85,4586.62,416.691,36096.8,66974.8,5210.85,1953.85,2599.16,-1648.53,41512.5,419.062,6.14784,1
353995,313668,87,239091,210454,86,4010.58,1513.38,40503.2,69110.8,5241.67,364.212,3990.18,148.914,38734.8,-1302.99,6.15082,1
319526,284930,85,269169,234835,84,3327.71,620.39,15983.8,62178.5,3220.19,11330.9,2564.41,1085.47,28399.5,1791.54,6.15976,1
403315,353956,94,309647,270351,88,5323.07,2068.59,31421.6,97236.9,5544.04,3091.03,2988.83,-162.185,51135.3,-156.609,6.17367,1
261950,247449,80,159810,149330,80,2795.24,1199.6,8778.59,9242.4,3490.73,4513.49,715.783,140.713,12739,2613.8,6.19552,1
288907,271252,85,130272,119772,79,2449.15,285.59,5145.03,50449.2,2329.42,16185.8,903.492,919.473,7423.67,1894,6.20247,1
339465,287225,89,284589,235928,88,4286.08,1675.78,55527.1,69843.3,2971.99,10072.9,7248.41,637.352,25487,-511.882,6.2561,1
259562,218199,85,189424,163378,84,22187.5,2154.01,33882.9,40156.1,1425,1668.4,17693.7,839.323,23023.8,1914.12,6.271,1
296019,274407,84,201741,178765,85,2654.78,518.831,14188.4,99551.6,2722.56,8197.52,1697.18,514.797,14980.3,2510.73,6.27199,1
277160,255870,82,220205,200353,82,2993.22,688.268,18947.9,58163.1,1442.36,233.675,903.246,-807.65,47760.2,3121.22,6.32562,1
244798,219691,83,247401,219401,83,1900.51,1383.18,10182.6,70698.5,1762.24,26849.1,2278.98,-811.462,21164.9,3775.21,6.33754,1
303052,276218,87,212750,188837,84,3064.65,769.697,8357,55647.2,4031.36,18537.1,2204.53,406.852,25971.6,838.362,6.37131,1
320207,290007,85,228692,203852,84,6841.55,1002.32,17935,50790.5,3426.65,1812.52,2299.43,969.978,21241.7,214.109,6.38025,1
286148,260654,96,201359,176071,96,2980.74,1070.82,16286.5,52506.6,2276.23,21054.2,2087.87,-1165.73,19921.7,1052.95,6.39217,1
