"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
375035,325693,89,294298,255301,87,5730.27,-86.0853,13989.3,57293.1,4207.07,21544.1,1987.16,727.489,36888.9,-490.047,2.31715,1
400677,354750,89,286112,252905,89,4992.81,-641.537,2094.64,57484.7,4144.61,13354,1086.41,67.9603,38406.9,244.151,2.41119,1
337314,301793,85,269989,235487,85,4525.03,1547.06,11898.9,100610,3237.36,2054.63,4206.62,-191.018,42937.1,107.268,2.4766,1
320059,290325,85,214672,188247,85,3506.94,-64.8994,4230.81,78937.2,3720.56,1704.6,2192.75,111.314,32751.6,22.8238,2.52975,1
315877,286277,85,183600,166424,82,6191.77,505.593,6005.71,52153.8,2561.07,4172.24,1738.16,-237.968,19368.8,857.847,2.54099,1
373642,332924,87,316104,273439,91,9104.85,-3.40413,2511.91,35710.7,5552.12,20075.8,2460.73,-162.525,35626.3,631.658,2.56348,1
321036,289101,85,285965,253359,84,1523.09,1482.49,6914.06,66003.5,1926.63,9512.44,1771.02,1454,36196.3,413.308,2.58086,1
282227,251435,84,280365,247230,86,3846.62,995.093,9800.71,67245.5,2537.93,250.443,3036.64,391.203,45492.8,158.424,2.58903,1
265181,236277,84,292474,255584,84,3705.38,89.6735,5150.08,55256.5,3220.62,18028.3,3559.19,-155.584,36655.7,1871.42,2.65445,1
303879,276621,97,182185,162506,83,2804.18,869.228,4189.21,50154.2,2740.07,14867.2,569.752,569.395,26026,1867.22,2.70147,1
306327,279000,88,174121,154740,82,6034.67,-208.094,7189.67,68325.8,4386.52,19964.2,644.288,-9.55476,22203.2,-245.981,2.70964,1
346776,303254,96,293306,251989,88,4602.91,-1460.59,9256.6,65728.2,3640.85,3062.2,2965.66,-480.43,46363.3,1738.4,2.72906,1
361154,323006,90,275407,239823,87,7437.68,159.244,4919.36,117578,5144.14,19941.2,2520.53,813.453,31133.5,-341.259,2.73929,1
395097,344001,92,325834,276738,89,7951.56,-71.5887,8894.21,98816,5077.48,18265.7,2686.26,1236.03,31229.2,-876.375,2.74746,1
313334,288341,83,264926,230241,87,4123.68,388.823,2653.96,72624.3,2229.1,1636.16,2875.19,-179.857,35389.7,129.553,2.76995,1
341867,293976,100,290017,243783,101,5960.9,769.222,6606.16,77054.5,3548.93,5374.64,3696.07,-109.864,59926.7,5936.73,2.78222,1
390935,345756,89,280878,243104,87,7491.64,763.239,2627.1,85408.6,3853.79,18841.5,6147.78,484.046,40888.3,1393.16,2.80164,1
362610,333438,84,257528,233410,87,5842.26,1731.46,3872.96,67501.5,5966.76,347.095,1433.2,736.841,27999.6,-887.817,2.83945,1
354630,311438,87,277689,235931,86,5623.79,-8.97413,9173.05,97241.7,3663.77,6912.51,890.28,931.734,38563.3,-570.941,2.84048,1
461284,400327,91,332902,284284,91,8706.78,1740.21,2216.6,62209.3,5840.88,19901.7,1410.93,-109.907,43873.2,267.46,2.8926,1
304418,281316,84,216158,200095,82,3422.12,193.549,4250.68,43424.7,1926.2,6558.85,362.263,1080.51,18989.7,1226.12,2.90283,1
315720,282685,85,264088,230794,86,4560.62,999.904,9795.91,49695,4352.04,23107.2,1304.4,1362.68,33057.2,-488.835,2.93349,1
243983,211141,84,344779,296889,85,2485.8,674.533,9196.14,139098,2091.89,1243.53,4451.28,202.672,35900.4,153.244,2.96824,1
315733,272005,99,316316,268174,86,3744.92,107.931,7749.71,134772,1365.9,25673.7,1890.81,301.159,42343.3,1959.2,2.9754,1
334841,303545,87,274131,247382,87,3294.16,-136.952,12911.1,82588.5,2148.94,26802.9,851.122,1054.61,32180.7,1032.71,3.03672,1
336946,306870,84,305321,270371,88,4189.12,63.4174,9321.66,38684.3,3675.03,2551.65,1778.95,-219.228,38543.2,277.686,3.06739,1
253227,225841,82,233727,203587,84,23008.8,917.08,9705.43,62867.3,1446.7,6964.87,3273.52,-537.167,35859.2,10539.2,3.08272,1
306019,266251,85,317122,260177,86,3988.04,1086.83,8286.93,79915.5,4152.09,3347.69,4722.35,789.947,47054,3593.42,3.10316,1
364419,324232,89,320286,282685,88,4687.3,1051.37,4987.81,102852,5642.37,18557.4,1963.44,-829.944,34854.8,1462.77,3.12565,1
363156,319648,87,294397,244800,89,5518.22,1319.84,5626.34,100259,4749.57,14409.1,1697.47,980.431,58076.3,2498.96,3.13587,1
349387,313932,86,253536,225248,85,9722.09,819.052,4328.15,99395.3,3370.43,18567.1,2750.48,-1514.8,35267.1,-139.059,3.16551,1
353046,315860,87,242993,212636,86,13127.8,1147.25,8263.6,27458.9,4062.94,6726.64,1696.59,446.833,32187.2,25.3635,3.22275,1
333829,293132,86,303405,259555,87,11516.3,123.864,11426.7,101331,3190.66,23344.6,3837.21,783.613,44598.6,-175.383,3.2391,1
344560,309880,87,249826,219963,86,9416.27,1170.93,7441.89,66226,2821.65,14822.2,2118.88,5.85361,25547,278.58,3.26261,1
312513,284586,86,225120,197645,84,4128.11,-32.3874,3275.8,58951.8,3287.46,14749.5,1055.01,-351.134,20108.8,349.881,3.2667,1
